A micromanager sets out to solve on a microscopic scale and an ongoing basis an economic problem that is rather subtle - one certain to defy a singular solution. | The problem is how to produce as much predictive power as possible at the lowest possible cost.
Mathematical Definition of Submodularity | For any subsets A and B of a set N, if A is a subset of B and x is a member of N but not B: F(A ∪ {x}) - F(A) ≥ F(B ∪ {x}) - F(B).
Submodular Optimization | Finding the set that maximizes (or minimizes) a submodular function, subject to certain constraints.
Race Organiser as Submodular Optimizer | Selects best set of prediction models (athletes) maximizing total performance (predictive accuracy), subject to available budget (invitation costs).
Practical Implications of Submodularity | Helps model real-world phenomena like diminishing returns, makes certain optimization problems more tractable.
Examples of Submodular Functions | Coverage functions in sensor placement, information gain in machine learning, cut capacities in network design.
Examples of Submodular Optimization | Sensor placement to maximize coverage, feature selection in machine learning, network design to minimize cost.
Submodular Optimization in Race Organiser Role | Determines optimal mix of prediction models to invite for highest total performance within budget constraints.
Greedy Algorithm for Submodular Maximization | Iteratively add element with highest marginal gain to the solution; provides good approximate solutions for certain submodular problems.
Monotonicity in Submodular Optimization | When adding an element never decreases the value of the function. If a function is both submodular and monotone, a simple greedy algorithm guarantees a solution within (1-1/e) of the optimal.
Constraints in Submodular Optimization | May include cardinality constraints (limit on the number of elements in the set), matroid constraints (generalization of linear independence), knapsack constraints (elements with costs, total cost limit), etc.
Submodular Function Minimization | Polynomial time solvable, unlike general submodular maximization; algorithms include Fujishige's Minimization Algorithm and Queyranne's Algorithm.
Multifidelity Optimization | Approach to optimization that balances accuracy and computational cost by using a combination of models of varying fidelity.
Market Clearing Mechanism | Process or method where supply and demand in a market are balanced through adjustments in price. Ensures market efficiency; all buyers have found sellers and vice versa.
Quarantined Balance | Method of setting aside a portion of total balance (money and time) used to calculate actual compensation for suppliers. Protects against rapid resource depletion, ensures stable, manageable compensation process.
Draw-down Hitting Zero | Investor starts with $1000 portfolio. After a series of losses (20%, 50%, 100%), portfolio value decreases to $0. When draw-down hits zero, no capital left for further investments. In predictive systems with compensation, no balance left for payouts; need for additional resources or cessation of operation.
Near-the-pin Collider | An incremental reward system in a predictive model triggered by the alignment between arriving ground truth and quarantined distributional predictions. It rewards the accuracy of predictions: the closer to the ground truth, the greater the reward.
Role of Collider in prediction market | Receives prediction orders, collides to create aggregate distribution - market forecast, reveals belief diversity, identifies anomalies
Nature of Colliders passivity | Doesn't generate predictions, actively synthesizes market's collective forecasting power
What is bid-offer spread? | Difference between buyers' purchase price (bid) and sellers' sale price (ask or offer) in an asset.
How does bid-offer spread relate to market liquidity? | Narrow bid-offer spread indicates higher liquidity, while wider spread suggests lower liquidity.
How does bid-offer spread impact transaction costs? | Wider bid-offer spreads generally increase transaction costs, as buyers pay more and sellers receive less.
What is a totalizator? | System in gambling, notably horse racing, where bets of a type are pooled; after house takeout, remaining money is distributed among winners.
What is another term for totalizator? | Pari-mutuel betting.
How are payout odds determined in totalizator betting? | Payout odds fluctuate based on betting patterns; calculated by dividing the total pool by the amount wagered on winning outcome.
What is active market making? | The practice of providing liquidity to financial markets by continuously offering to buy (bid) and sell (offer) securities.
What role do market makers play in financial markets? | They ensure there's always a buyer and seller for investors, thereby contributing to overall liquidity and efficiency of markets.
How do market makers profit? | They aim to profit from the bid-offer spread.
What strategies might traders employ around bid-offer spreads? | High frequency traders might exploit minute bid-offer spread differences for arbitrage opportunities.
What implications does totalizator betting have for gamblers? | Since odds fluctuate, strategic timing of bets may impact potential payouts.
Combinatorial Parimutuel Markets (CPMs) | Concept derived from parimutuel betting principles applied to financial derivatives by Robert Baron and Eva Lange, involving bundling of underlying states and combinatorial clearing.
Bundling of Underlying States in CPMs | Equivalent to betting types in parimutuel system, but applied to financial instruments. Example: betting on a bundle of stocks to rise, or a specific bond yield to fall within a certain range.
Combinatorial Clearing in CPMs | Mechanism determining prices and quantities of each bundle at the close of betting, based on total bet amount on each bundle.
Financial Applications of CPMs | Primarily in pricing complex derivatives and exotic options, suitable for situations with high uncertainty or a wide range of possible outcomes.
Pros and Cons of CPMs | Pros: Pricing variety of financial products, incorporating market sentiment in real-time. Cons: Requires sufficient liquidity and participation, complexity may deter some market participants.
Parimutuel vs. Fixed-Odds Markets | Parimutuel markets allow for flexible odds responding to crowd's perception of probabilities, with bettors bearing the risk. Contrast to fixed-odds markets where bookmakers set odds and bear risk of incorrect pricing.
Fluctuating Odds in Parimutuel Betting | Unlike fixed-odds betting, parimutuel betting odds fluctuate in real-time based on the distribution of money bet on each possible outcome. Final odds aren't determined until betting closes.
Meaning of "Parimutuel" | French for "mutual betting", parimutuel refers to bettors essentially betting against each other rather than the house, as the payoff depends on the total amount bet and the number of winners.
Bet Types in Parimutuel Betting | Parimutuel betting often includes bets beyond predicting the outright winner, such as 'place', 'show', or 'exacta' bets. Each bet type typically has a separate betting pool.
House Takeout in Parimutuel Betting | House takeout is the portion of the betting pool kept by the house (like a racetrack or betting agency) to cover costs and profit. Its size can significantly impact potential payouts.
Bettor Strategy in Parimutuel Betting | Bettors consider the outcome likelihood and how they believe the public will wager. This is called 'playing the tote board', trying to identify over or under bet outcomes based on displayed odds.
Tote Board | An electronic board displaying the odds for each potential outcome in a parimutuel betting event, updating in real-time as bets are placed and pools change. It often displays the total amount bet on each outcome.
Dividend Calculation and Breakage in Parimutuel Betting | Winnings are calculated by dividing the total pool (after house takeout) by the total amount bet on the winning outcome(s), rounded down to a set denomination, with the remainder (breakage) going to the house.
Mathematical Calculation of Parimutuel Odds | Parimutuel odds are calculated by dividing the total amount bet on all outcomes by the total bet on a specific outcome, then subtracting one. The process repeats as new bets are made.
Impact of House Takeout on Parimutuel Payouts | House takeout reduces the total payout pool in parimutuel betting. A higher takeout reduces potential winnings for bettors but increases revenue for the house.
Concept of Overlays and Underlays in Parimutuel Betting | Overlays are outcomes perceived as having higher actual odds than the tote board suggests, while underlays have lower. Bettors aim to identify overlays for potential value.
Breakage in Parimutuel Payouts | Breakage is the rounding down of parimutuel payouts to the nearest pre-set denomination, with the remainder kept by the house. This can subtly increase house advantage.
History of Parimutuel Betting | Parimutuel betting was first introduced in France in the late 19th century by Pierre Oller. It became popular worldwide, especially for horse racing, and is also used in jai alai, greyhound racing, and some lotteries.
Avoid Popular Numbers | Moffit suggests avoiding commonly chosen numbers to reduce the chance of having to split the jackpot.
Consider High Numbers | Moffit advises selecting numbers on the higher end of the available range to decrease the likelihood of sharing the prize.
